smiles,vapour,aerosol,gas
CCOCCOC(C)(C)C,10.5,,
FC(F)(F)c1ccc(Cl)nc1,19,,
[Ca++].Cc1ccc(N\N=C\2C(=O)C(=Cc3ccccc23)C([O-])=O)c(c1)[S]([O-])(=O)=O,1.51,,
Cc1occc1,852.9,,
CCCOC(=O)[C@H](C)O,5.4,,
CCCCl,6.54,,
CC(C)CC(C)(C)C,33.52,,
CCOC(Cl)=O,0.865,,
Clc1cccc(Cl)c1,17.6,,
[Pb++].CC([O-])=O.CC([O-])=O.CC([O-])=O.CC([O-])=O,5.05,,
CCOCC(C)OC(C)=O,6.99,,
[Cl-].CCCCCCCC[N+](C)(C)CCCCCCCC,10,,
[Al+3].CC(C)[O-].CC(C)[O-].CC(C)[O-],10000,,
CN=C=S,1.9,,
[Zn++].CCC([O-])=O.CCC([O-])=O,5.7,,
[Zn++].CC([O-])=O.CC([O-])=O,6.49,,
ClC(Cl)(Cl)Cl,7228,,
COC1CCCC1,21.5,,
CC(C)C(C)=O,6372.666667,,
CC(C)C(=O)C(C)C,2765,,
O=C1CCO1,25,,
CCCCOC(=O)CC,23.78,,
CC(C)CC=O,42.7,,
Cc1cncc(C)c1,1.16,,
CCCCC=C,8050,,
CCN(C)C,2.3,,
CC(=C)[C@H]1CCC(=CC1)C,2421,,
CNN,96.6,,
CCCCCCOC(Cl)=O,1.17,,
COC(=O)OC,5.36,,
C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1,4.9,,
Cc1cccc(c1)N=C=O,0.0315,,
[Pb++].[O-][S]([O-])=O,5.05,,
CCC\C(C)=N/O,295,,
ClCC#C,4.44,,
CSSC,1310,,
ClCCC(Cl)=O,0.9,,
CC(NC(Cl)=O)C1CCCCC1,0.88,,
CCCCCCCCCCCCC,6.1,,
CCCCCCCCCCCCCC,6.1,,
CCCCCCCCCCCCCCC=C,8050,,
CCOC(C)(C)C,5.88,,
CCCCC(Cl)=O,2.07,,
CCO,4730.892308,,
OC=O,7.85,,
CC(O)=O,16000,,
C(CN1CCOCC1)OCCN2CCOCC2,0.21,,
C1COCO1,68.4,,
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.2,,
CC(=C)[C@@H]1CC=C(C)C(=O)C1,5.66,,
[Na+].[O-]C(=O)C(Cl)(Cl)Cl,20,,
[Cl-].CC[NH2+]CC,5700,,
C1CC(CC=C1)C2OCC3(CO2)COC(OC3)C4CCC=CC4,7.37,,
CC1C2CC(CC2C3CCC(O)CC3)C1(C)C,5.27,,
COc1cc(C=O)cc(c1O)[N+]([O-])=O,0.0417,,
CCCCCCCCCCO,0.237,,
CCC(C)C(=O)OC(C)C,5.967,,
CC(C)O,10000,,
C#CC1CC1,22.3,,
CN(C)C=O,5.85,,
CO[Si](OC)(OC)OC,63,,
CCCCCCCCCCCCOC(=O)c1ccccc1,200,,
CO[Si](OC)(c1ccccc1)c2ccccc2,0.42,,
CCCCC,27.93333333,,
CC1CCCC(C)C1N,3.6,,
CCCCCCCC=C,8050,,
CC/C=C/CC/C=C/C=C,133.6329524,,
CC(C)CCCCCO,0.024,,
CC(C)CCCCCCO,21.7,,
CC(C)CCCCCCCO,95.3,,
CC(C)CCCCCCCCCCO,12.2,,
CC(C)CCCCCCCO,95.3,,
CCCCCCCC(C)C,4.974434783,,
CCCCCCCCCCC(C)C,4.951,,
[Ti+4].CC[O-].CC(C)[O-].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,1224,,
[Zn++].CCCCCCCO[P]([S-])(=S)OCCCCCCC.CCCCCCCO[P]([S-])(=S)OCCCCCCC,5,,
CCOC(=O)[C@H](C)O,5.4,,
CCCCCCCCC(C)C#N,5.3,,
CCN(C(C)C)C(C)C,2.63,,
c1ccccc1,6871.8835,,
CN(C)c1ccc(cc1)C=CC2=[N+](C)c3ccccc3C2(C)C.CC([O-])=O,14.78,,
CC(O)C(N)C(O)=O,5.15,,
CCCCCCCCCC(C)(C)SSC1=NNC(=S)S1,0.62,,
CCl,6.3,,
ClCBr,38.6,,
[Pb],5.05,,
[Ag],5.16,,
[Cu],5.11,,
CC#N,3587,,
CC=O,6662.02,,
CCS,11.23,,
NC=O,21,,
S=C=S,10.35,,
CSC,40250,,
C1CO1,660,,
CC(C)Br,9923,,
CC(C)Cl,6.54,,
CC(C)N,793.3666667,,
ClC(Cl)=C,86.88833333,,
ClC(Cl)=O,0.149166667,,
CN(C)C,1754.3,,
C[Si](Cl)Cl,1785,,
CC1CO1,842.6992,,
CC(C)(C)S,26643,,
C[Si](C)(C)C,21.3,,
C[Si](C)(C)Cl,4257,,
C[Si](C)(Cl)Cl,2092,,
C[Si](Cl)(Cl)Cl,1365,,
CCC(C)(C)C,73860,,
CCC(C)(C)O,3000,,
OCC(F)(F)F,784,,
Cl[Si](Cl)(Cl)C=C,1121,,
CCOCCC(=O)OCC,998,,
FB(F)F,1.21,,
CCN1CCCCC1,2.423333333,,
[Na+].[O-]Cl,10.5,,
C[Si](C)(N[Si](C)(C)C=C)C=C,1516,,
ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl,1.2895,,
C1C=CC2C3CC(C=C3)C12,212.9076667,,
S,5.43,,
Cl[S](Cl)=O,4.9253,,
C[C](C)C,2102.0855,,
[Cl-].[Cl-].[Pb++],5.05,,
C[Si](Cl)(Cl)CCCCl,1257,,
CC(C)CO,18.18,,
CC(C)C=O,23.6,,
CC(=C)C=O,0.553333333,,
CCC(C)Cl,6.76,,
CC(=O)CCl,1.9,,
[Si],9600,,
CCC(Cl)=O,0.2,,
CCC(O)=O,19.7,,
OC(=O)C=C,5.1,,
COC(Cl)=O,0.061,,
CC(C)C(C)C,73860,,
CC(C)C(Cl)=O,0.823333333,,
ClC(=O)C(Cl)=O,771.65,,
CC(=C)C(O)=O,7.1,,
O=CC1CCOC1,4.48,,
O=C=NCCCCCCN=C=O,0.124,,
[Zn++].CC(C)CC(C)O[P]([S-])(=S)OC(C)C.CC(C)CC(C)O[P]([S-])(=S)OC(C)C,2.3,,
Clc1ccc(cc1)C2=C3C(=O)NC(=C3C(=O)N2)c4ccc(Cl)cc4,2250,,
CO[Si](CCCCCC[Si](OC)(OC)OC)(OC)OC,0.042,,
CC(C)[C@@]12CC[C@@](C)(O1)[C@@H](O)C2,8.535,,
CCCCCCCCC=C,8050,,
CCC(OCCCOC)OC(C)=O,5.7,,
Clc1ccccc1C=O,1.203,,
[Na+].[O-]C(=O)C=C,5.1,,
CCC=C.C\C=C\C,2102.0855,,
CCCCCCCC\C=C/CCCCCCCCOCCO,0.1,,
c1ccc2ccccc2c1,39.05,,
CCO[Si](CCCN)(OCC)OCC,10.5,,
CCOC(C)(C)CC,23.2,,
CCCN(C)C,4.499,,
NCCOCCO,0.0087,,
CCc1[nH]c(C)cn1,0.03,,
CCCCCC/C=C/CC/C=C/CCCC,8050,,
[K+].[K+].[K+].CCC[Si]([O-])([O-])[O-],22.2,,
CCCCCCCCCCCCCCCCCCCCC=C,8050,,
CCCCCCCCCCCCCCCCCCCCCCCCC=C,8050,,
COC(=O)C1CCC(CC1)C(=O)OC,2.91,,
Fc1cccc(n1)C(F)(F)F,2529.5,,
Nc1ccccc1Cl,4.406,,
Cc1ccccc1N,862,,
Oc1ccccc1Cl,4.77,,
Cc1ccc(N)c(C)c1,1.53,,
Cc1ccc(Cl)cc1Cl,2.669,,
CC(=C)C(=O)OCC=C,1.47,,
CCC(C)C=O,50.5,,
ClCC(Cl)CCl,4.8,,
CC\C(C)=N\O,4.83,,
COC(=O)C=C,10.832,,
COC(=O)CCl,210,,
CCOC(=O)C(C)=C,55,,
CC(C)COC(=O)C(C)C,3.88,,
CCB(CC)CC,738,,
OCC1CCCO1,751,,
OCc1occc1,1.336666667,,
CN(C)C1CCCCC1,1.7,,
Cc1cccc(c1)[N+]([O-])=O,0.88,,
CCC(C)(C)OC,5.4,,
CC(C)N(C)C,4.499,,
CCO[Si](OCC)OCC,0.5,,
C[Si](C)(C)N[Si](C)(C)C,1516,,
OC(=O)c1ccc(cc1)C(O)=O,,1.515,
OCc1ccccc1,,4.178,
CC(C)(O)Cc1ccccc1,,3.005,
[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,,1.1,
Cl[P](Cl)(Cl)=O,,0.303,
Cl[P](Cl)(Cl)(Cl)Cl,,0.205,
[Sr++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,,4.5,
OB(O)O,,2.03,
[O-][Cl]=O,,0.043,
O(P(Oc1ccccc1)Oc2ccccc2)c3ccccc3,,6.7,
CN(C)C(=O)Nc1ccccc1,,5.06,
